BusinessID,ClaimAmount
00006A45,277674.572885129
00007A94,139775.411084903
0002A104,376145.261296689
0003A113,86434.1989299146
0005A152,218156.432141561
0006A182,241877.524250528
0003A185,157885.612433855
0007A188,35323.2032593116
0006A190,755584.657468103
0003A214,56643.3774413667
0007A239,254820.5664821
0007A243,286172.999906044
0001A279,789618.310095956
0001A326,171742.869292145
0003A391,519570.557788676
0000A401,205673.229394096
0001A424,149167.647508576
0002A428,181989.625862765
0002A458,74135.5236485399
0001A503,780194.086115881
0001A503,780194.086115881
0007A526,92158.0274203873
0000A528,265059.494787801
0002A534,621520.503759382
0008A548,130122.504252938
0006A580,1300670.82105695
0000A593,432157.01897731
0003A625,843238.851404708
0007A646,371799.67176814
0004A708,133261.713426745
0008A818,528833.77566229
0000A855,50611.4627555474
0009A906,137596.576444507
0005A925,42551.5809761644
0002A940,62548.5510415889
0003A941,892942.3146309
0004A969,58635.5818250672
0007A972,220713.979399471
003A1011,209015.668310662
009A1012,435597.432813978
003A1095,470590.811578537
008A1098,52899.149017411
004A1136,130789.947054232
003A1141,172553.747184178
000A1157,135215.595245949
003A1189,229517.045799
005A1203,455997.28328115
001A1208,570090.864191361
008A1219,213634.317005567
004A1223,426403.966878699
002A1229,6127.43622395076
008A1239,158501.779216458
003A1318,592976.618034939
005A1335,755609.365442414
009A1367,185070.374023841
001A1443,77803.4392244679
007A1464,64730.8468750939
002A1531,347038.185711115
006A1553,316400.14885842
008A1617,230255.698881309
000A1676,34348.5045283815
000A1687,250710.452820408
009A1715,200099.803003741
007A1720,411913.376775587
006A1778,154556.583524933
000A1810,346011.498141122
003A1817,16033.8327920648
003A1822,641023.101658317
004A1863,340654.832846901
002A1896,230174.413351679
003A1899,43194.4513230102
006A1909,20821.392118863
002A1974,60560.2563990295
003A2004,329744.543671462
004A2013,286479.933973343
003A2101,268153.369099215
006A2131,36486.1512678424
000A2146,726293.137959016
009A2177,251026.222576818
005A2180,369052.747767016
007A2214,159932.269114414
007A2249,221110.675487923
002A2268,122469.730300379
005A2310,142847.858962391
005A2359,1022222.67797809
002A2363,46486.97196749
001A2397,45426.8346589258
007A2419,69159.2981303743
004A2424,294586.138118891
009A2430,287492.893970318
001A2451,71878.696349314
